yields.id,genus,species,sitename,lat,lon,fertilizer_n,irrigated,planting_year,year,stand_age,planting_density,yield
16897,Miscanthus,Miscanthus x giganteus,Sorgham Origanization and Research Group for High Altitude or Latitude (SORGHAL),50.85,4.35,120,FALSE,1993,1995,2,40000,5.2
16898,Miscanthus,Miscanthus x giganteus,Sorgham Origanization and Research Group for High Altitude or Latitude (SORGHAL),50.85,4.35,120,FALSE,1993,1996,3,40000,16.1
16899,Miscanthus,Miscanthus x giganteus,Sorgham Origanization and Research Group for High Altitude or Latitude (SORGHAL),50.85,4.35,120,FALSE,1993,1997,4,40000,15
16900,Miscanthus,Miscanthus x giganteus,Trinity College Dublin (TCD),53.34,-6.25,120,FALSE,1993,1995,2,40000,5.3
16901,Miscanthus,Miscanthus x giganteus,Trinity College Dublin (TCD),53.34,-6.25,120,FALSE,1993,1996,3,40000,7.7
16902,Miscanthus,Miscanthus x giganteus,Trinity College Dublin (TCD),53.34,-6.25,120,FALSE,1993,1997,4,40000,8.4
16903,Miscanthus,Miscanthus x giganteus,Trinity College Dublin (TCD),53.34,-6.25,120,FALSE,1993,1998,5,40000,13.6
16904,Miscanthus,Miscanthus x giganteus,Trinity College Dublin (TCD),53.34,-6.25,120,FALSE,1993,1999,6,40000,14
16905,Miscanthus,Miscanthus x giganteus,University of Santiago de Compostela (USC),42.88,-8.54,120,TRUE,1993,1994,1,40000,5
16906,Miscanthus,Miscanthus x giganteus,University of Santiago de Compostela (USC),42.88,-8.54,60,TRUE,1993,1995,2,40000,13.6
16907,Miscanthus,Miscanthus x giganteus,University of Santiago de Compostela (USC),42.88,-8.54,120,TRUE,1993,1996,3,40000,22.5
16908,Miscanthus,Miscanthus x giganteus,Istituto di Agronomia Generale e Coltivazioni Erbacee (IAGCE),45.46,9.18,120,FALSE,1993,1994,1,40000,4.9
16909,Miscanthus,Miscanthus x giganteus,Istituto di Agronomia Generale e Coltivazioni Erbacee (IAGCE),45.46,9.18,120,FALSE,1993,1995,2,40000,32.4
16910,Miscanthus,Miscanthus x giganteus,Istituto di Agronomia Generale e Coltivazioni Erbacee (IAGCE),45.46,9.18,120,FALSE,1993,1996,3,40000,26.8
16911,Miscanthus,Miscanthus x giganteus,ADAS Arthur Rickwood ,52.42,0.11,120,FALSE,1993,1994,1,40000,4.1
16912,Miscanthus,Miscanthus x giganteus,ADAS Arthur Rickwood ,52.42,0.11,120,FALSE,1993,1995,2,40000,11.6
16913,Miscanthus,Miscanthus x giganteus,ADAS Arthur Rickwood ,52.42,0.11,120,FALSE,1993,1996,3,40000,14.4
16914,Miscanthus,Miscanthus x giganteus,ADAS Arthur Rickwood ,52.42,0.11,120,FALSE,1993,1994,1,40000,4.9
16915,Miscanthus,Miscanthus x giganteus,ADAS Arthur Rickwood ,52.42,0.11,120,FALSE,1993,1995,2,40000,15
