"lat","lon","year","MAT","MAP","PET","SOLAR"
37.86,32.48,1999,292.147015282652,4.93840891775759e-05,283.842560687413,289.577415352752
37.86,32.48,2000,292.234549088362,3.15244238576732e-05,358.064665881401,303.621382544591
37.86,32.48,2001,293.826123049432,1.5570643256161e-05,442.604800040809,308.506250483219
52.47,-8.15,1994,285.892811765838,2.02355959370314e-05,284.941622323199,216.289708858365
52.26,10.52,1994,289.971765267854,1.36871661884894e-05,368.749267298906,267.861060625402
52.26,10.52,1995,288.894668439264,2.10518901737967e-05,315.664187002225,253.129157820198
52.21,6.84,1995,289.809071556744,1.79828432307972e-05,358.09799773426,257.010844582527
52.21,6.84,1996,288.281384913693,1.97947243423647e-05,360.433845534627,257.84329138248
38.03,23.94,1995,296.289561943024,8.27014101602282e-06,520.340532294746,312.917071662371
38.03,23.94,1996,296.212322670433,7.07495487135356e-06,539.788510210188,311.650429958989
40.18,16.57,1994,296.717379643144,6.33422540220139e-06,422.000816993464,309.782907066764
40.18,16.57,1995,295.494393135696,1.36480844841216e-05,409.39885620915,314.295793618629
40.18,16.57,1996,295.153989080995,1.45093221052429e-05,400.519281045752,304.44732762021
40.18,16.57,1997,295.780648574448,1.26152077286858e-05,429.34362745098,312.772950217973
44.17,11.09,1994,293.316226300072,1.9829592978726e-05,345.257726569169,298.014875349168
44.17,11.09,1995,291.778160490773,2.9854943262607e-05,297.837892866116,292.629327483248
44.17,11.09,1996,291.683073714336,3.06138058909431e-05,310.406847169798,290.856203751779
44.17,11.09,1997,292.616194908256,1.65259227070566e-05,309.372103174363,297.015751428944
53.66,10.28,1994,290.55206057743,2.03934098314078e-05,390.805180440541,253.403539960215
53.66,10.28,1995,290.263148687461,1.97330088929655e-05,372.011454796683,248.744686285696
53.66,10.28,1996,288.6713342013,1.95142992593828e-05,351.459798745244,246.604557454539
53.66,10.28,1997,290.114427393091,3.1741322252385e-05,325.642878417852,243.805169655523
53.66,10.28,1998,289.355621257296,3.03457694487424e-05,333.238488221671,235.050514444317
53.66,10.28,1999,290.463164587235,2.59734884296877e-05,358.788768484221,247.603238354864
53.33,-6.23,1994,286.284607984082,1.6070878909241e-05,298.868997176232,230.742749414983
53.33,-6.23,1995,288.04300051683,1.41358743672601e-05,340.374351089204,246.484684837267
50.13,8.86,1995,288.019951857123,2.59507292271051e-05,285.771267151695,259.102464731813
50.13,8.86,1996,287.017961746074,2.16168123889386e-05,308.698900344464,260.982983802915
50.13,8.86,1997,288.147002291959,2.73562921317329e-05,265.798750838523,261.450178241691
50.13,8.86,1998,288.623658203641,1.86958762484454e-05,327.247304275046,257.173654777718
50.13,8.86,1999,288.548120165812,3.18593079533909e-05,267.071410999165,257.848055212922
50.13,8.86,2000,287.906713251303,3.95118264618437e-05,237.518531092345,257.501153715067
50.85,4.35,1994,289.396618599433,1.77768130009323e-05,345.726473188957,256.161605965086
50.85,4.35,1995,289.544601449768,1.64203780232662e-05,372.667535177001,254.880611284572
50.85,4.35,1996,287.99786126781,1.73774355085168e-05,371.421129739609,252.874469442119
50.85,4.35,1997,289.522185093873,1.50149190265841e-05,335.209386643497,251.386703382173
53.34,-6.25,1995,288.038507481436,1.40407513812009e-05,340.423712987584,246.55493391648
53.34,-6.25,1996,286.609232166549,1.93724505474532e-05,312.86675696617,245.262064903547
53.34,-6.25,1997,287.42646879071,2.13228318911378e-05,303.663817308131,234.29331152282
53.34,-6.25,1998,287.043589907971,2.93922054354021e-05,277.869476717552,225.933470452577
53.34,-6.25,1999,287.481009007017,2.10951702119044e-05,303.57240786551,233.834319321669
42.88,-8.54,1994,288.978242230854,2.36171681436804e-05,464.070098039216,258.774900292694
42.88,-8.54,1995,289.689412692035,2.23416121520289e-05,522.643954248366,265.046283335283
42.88,-8.54,1996,289.386762172971,1.94714189010261e-05,472.445261437908,265.904653522756
45.46,9.18,1994,289.629793629882,2.52467367765531e-05,325.674499849118,278.143666790818
45.46,9.18,1995,288.238320998569,2.70718031119443e-05,330.117063840428,278.60000066708
45.46,9.18,1996,287.635215523032,2.63242641006715e-05,329.545529146648,274.665146808428
52.42,0.11,1994,286.862507858966,1.0103900805518e-05,324.50114379085,237.600313375822
52.42,0.11,1995,287.126529717835,1.23122061714784e-05,335.546078431372,246.978173014763
52.42,0.11,1996,286.125961332104,1.04173303274219e-05,299.541339869281,232.626409124476
51.81,-0.36,1994,287.857743478379,1.51561895222379e-05,325.657026143791,248.593133102806
51.81,-0.36,1995,288.699200639217,1.30419448485017e-05,343.957516339869,258.333605964743
51.81,-0.36,1996,287.380627484609,1.18602591851392e-05,309.823039215686,254.233532942762
51.81,-0.36,1997,288.503998771014,1.49653411101057e-05,306.233660130719,243.067652634985
51.89,0.9,1994,288.80213220815,1.54554175635708e-05,347.015088552878,254.893647838113
51.89,0.9,1995,289.343663880164,1.42994214661977e-05,383.775871914367,255.841156881275
51.89,0.9,1996,287.969187731175,1.39557895062472e-05,364.364571874321,251.860388589835
38.73,-9.16,1995,295.132426198216,5.59367249096195e-06,562.316746873396,317.27732776149
38.73,-9.16,1996,294.488860118581,1.97350339784185e-05,518.837100973667,310.912583887695
38.73,-9.16,1997,294.046118753901,1.56106009658434e-05,467.74242889652,303.908010627114
38.73,-9.16,1998,294.639414630783,1.63672375709479e-05,502.151528371393,310.550992507908
38.73,-9.16,1999,294.74669716098,7.3593380268996e-06,561.165078230298,317.893942442164
56,14,1997,289.688908934589,2.42611445989642e-05,436.915024039262,236.215397429338
56,14,1998,288.615672767331,2.66084773286995e-05,428.782586599506,229.869474356691
56,14,1999,289.904846198482,2.33020292166849e-05,423.416605232807,245.880923710903
56.5,9.58,1997,287.914963844242,2.33308326320613e-05,448.425980392157,238.379586231911
56.5,9.58,1998,286.097058790489,2.88554566589729e-05,431.615522875817,222.709292905949
56.5,9.58,1999,287.321521806938,2.82900771313209e-05,397.655392156863,234.519648234557
51.8,-0.35,1997,288.503238611505,1.49430630576376e-05,306.233660130719,243.111224761863
51.8,-0.35,1998,288.314685622871,1.93110128248286e-05,307.410947712418,237.291566913425
51.8,-0.35,1999,288.730160472495,2.58805102084935e-05,308.96862745098,245.472059441196
48.67,9,1997,289.314834394348,2.34454341959741e-05,320.724993541947,260.497207449683
48.67,9,1998,289.1753342202,2.04550276131523e-05,346.593380226279,245.880660027088
48.67,9,1999,289.699731625861,2.6963690060123e-05,332.458944492657,257.744991946307
52.42,0.11,1993,286.307510911769,1.26118713273541e-05,304.371405228758,226.277802733589
48.23,14.39,1990,288.431652118965,3.69722119591338e-05,270.376946140661,263.116762107082
48.23,14.39,1991,288.284783032361,3.8442795133881e-05,267.017545734785,258.008608449137
48.23,14.39,1992,289.769333317981,3.01808999327772e-05,321.083583711912,269.067325844119
48.23,14.39,1993,288.920461362965,3.13457181003579e-05,299.904080809048,258.153897307692
48.23,14.39,1994,289.678444160283,3.22296010564853e-05,307.531281420264,266.845159655424
48.23,14.39,1995,288.12740908764,3.48098117750003e-05,285.733528705085,258.333846545267
48.29,15.91,1990,289.39161489155,2.96061692140289e-05,289.548248218047,259.503946637677
